coin_id,ts_utc,price,market_cap,total_volume
bitcoin,2025-07-25 17:09:09,116091.4393366719,2308962899766.9033,88732015930.66151
bitcoin,2025-07-25 18:08:41,116140.32153899151,2311634513650.401,89905345662.22783
bitcoin,2025-07-25 19:09:24,116519.04909679179,2318421486222.744,90296527643.47942
bitcoin,2025-07-25 20:02:39,116745.4889961425,2323195380872.3486,91156785119.52615
bitcoin,2025-07-25 21:09:17,117127.88858325909,2330188230342.7324,92298907464.21516
bitcoin,2025-07-25 22:03:01,117186.56279263442,2331253559885.7344,92678960242.52974
bitcoin,2025-07-25 23:09:29,117306.17719953186,2333954012549.525,92250798810.4639
bitcoin,2025-07-26 00:08:48,117518.68467257165,2338820753349.184,91862506657.07118
bitcoin,2025-07-26 01:02:49,117465.1713561606,2336738595198.008,90539574167.69812
bitcoin,2025-07-26 02:04:39,117305.49073255135,2334530458458.2876,86568999692.76271
bitcoin,2025-07-26 03:08:26,117544.02499277687,2338419538251.2065,80790133646.52544
bitcoin,2025-07-26 04:09:43,117522.98159427883,2338847657912.3003,73053553072.97237
bitcoin,2025-07-26 05:09:54,117512.78729380989,2338232874795.0034,67962381359.11132
bitcoin,2025-07-26 06:09:20,117476.4239653346,2337585782835.7446,64262647302.83519
bitcoin,2025-07-26 07:03:54,117386.69469760296,2335728383696.1436,60957676835.61244
bitcoin,2025-07-26 08:04:03,117356.22764742613,2335437559219.7646,57348515508.95366
bitcoin,2025-07-26 09:09:47,117592.69694383748,2339674530810.7026,51652096285.62771
bitcoin,2025-07-26 10:04:53,117603.87798094402,2339987656590.445,47667914940.58855
bitcoin,2025-07-26 11:02:23,118024.20870108431,2348828763291.541,46634536654.86411
bitcoin,2025-07-26 12:04:19,117832.15299624282,2344673140208.386,45110016858.76751
bitcoin,2025-07-26 13:04:26,117936.62604062287,2347007217580.1777,42409359513.78435
bitcoin,2025-07-26 14:01:48,118172.68047489724,2351570658212.4004,39087936993.44173
bitcoin,2025-07-26 15:04:40,118127.59555171018,2350411986214.93,35658845093.05046
bitcoin,2025-07-26 16:07:33,118143.08160937413,2350780284555.771,33425707590.375748
